,term,score
0,black spider,1.7872722668283706e+17
1,crochet lace,1.7872722668283706e+17
2,decor black,1.7872722668283706e+17
3,family decor,1.7872722668283706e+17
4,lace doily,1.7872722668283706e+17
5,family yes,22784897.306518894
6,fuck yes,22784897.306518894
7,yes fuck,22784894.945407767
8,make addams,22783702.703138117
9,clergy sunshine,15208.382735151677
10,club audition,15208.382735151677
11,audition addams,15204.62876999658
12,aether staing,15204.54546874615
13,message clergy,15202.762014307367
14,munsters horror,10357.343624384914
15,moicia addams,30.13979988109925
16,family like,28.12359394333098
17,horror family,25.498349608426476
18,like better,25.49834958461386
19,family munsters,24.173441524610162
20,family value,18.847769662446794
21,love addams,16.769944413341445
22,like addams,7.110363556737399
23,family ritrickoweet,6.900860751728284
24,uncle fester,6.898975014016084
25,episode addams,6.670943894027616
26,david levy,6.610735197057184
27,family dir,6.610735197057184
28,family musical,6.026533360636264
29,opening night,5.2811756241964956
30,watching addams,4.754788853764293
31,dir david,4.610735197057183
32,movie woman,3.5135971743080194
33,time movie,3.5135971743080194
34,value time,3.5135971743080194
35,darktez piece,2.6978071520572247
36,gomez addams,2.4037778185132503
37,woman age,2.402486063196905
38,look like,2.066501605690839
39,spider crochet,1.250000000007276
40,fam minted,1.1978071520572247
41,family moicia,1.1978071520572247
42,age girlbosses,1.1111111111113132
43,addams addams,1.1111111111110858
44,staing theatre,0.21243811026436454
45,sunshine aether,0.14155710777962233
46,minted darktez,0.08669604094602516
47,moicia original,0.08669604094602516
48,theatre club,0.07088100248474731
